WormBaseID	SRR28479535	SRR28479537	SRR28479531	SRR28479538	SRR28479526	SRR28479528	SRR28479530	SRR28479534	SRR28479529	SRR28479539	SRR28479525	SRR28479532	SRR28479533	SRR28479536	SRR28479527	SRR28479540
WBGene00022140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00014759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007562	0.0	0.0	0.0	0.0	0.0	5322.572424688622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6721.046537775106	0.0
WBGene00002235	0.0	5911.589646734044	0.0	0.0	0.0	0.0	0.0	4816.4036734575375	0.0	0.0	0.0	0.0	10236.437006922759	0.0	0.0	0.0
WBGene00010219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00003966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16785.35931956584	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020479	5616.579272601789	0.0	0.0	0.0	5672.811710774994	0.0	7425.0881033157575	0.0	7134.017733213497	0.0	0.0	11868.883124941412	0.0	0.0	5071.841927377745	6449.12374532065
WBGene00015370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00012588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00006681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13855.777177122356	0.0	0.0	0.0
WBGene00010722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3868.4758243302003	9582.280867704043	0.0	0.0	7974.164394593314	0.0	0.0	0.0	0.0
WBGene00012819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16904.44529547784	3826.3914674670245	0.0	0.0	0.0	0.0	0.0
WBGene00019977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5617.239780408632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00015704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4956.407356603766	0.0
WBGene00018763	12563.684583294173	0.0	0.0	14141.78820921841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14365.535844774404
