WBGene_ID,SRR28479526,SRR28479525
WBGene00000001,0.0,181.1680040347021
WBGene00000002,0.0,63.25800140878735
WBGene00000003,0.0,0.0
WBGene00000004,110.39399721738643,125.53700279577188
WBGene00000005,0.0,0.0
WBGene00000006,0.0,0.0
WBGene00000007,0.0,0.0
WBGene00000008,0.0,0.0
WBGene00000009,0.0,0.0
WBGene00000010,0.0,51.91973273287843
WBGene00000012,0.0,0.0
WBGene00000013,0.0,0.0
WBGene00000014,0.0,0.0
WBGene00000015,0.0,0.0
WBGene00000016,0.0,0.0
WBGene00000017,0.0,0.0
WBGene00000018,61.463758450731994,146.38710326011406
WBGene00000019,0.0,0.0
WBGene00000020,0.0,0.0
WBGene00000022,0.0,0.0
WBGene00000023,0.0,0.0
WBGene00000024,0.0,82.88690184593278
WBGene00000025,0.0,0.0
WBGene00000027,0.0,0.0
WBGene00000028,0.0,0.0
WBGene00000029,0.0,0.0
WBGene00000030,0.0,0.0
WBGene00000031,155.88599607070583,74.69800166356187
WBGene00000032,0.0,0.0
WBGene00000033,0.0,0.0
WBGene00000034,0.0,0.0
WBGene00000035,0.0,0.0
WBGene00000036,74.48609812248823,0.0
WBGene00000037,99.84149748337487,47.67490106174391
WBGene00000038,0.0,0.0
WBGene00000039,101.99099742919415,97.20910216489536
WBGene00000040,37.391199057509816,178.26600397007311
WBGene00000041,271.67999315197875,98.89030220233651
WBGene00000042,0.0,0.0
WBGene00000043,0.0,0.0
WBGene00000044,0.0,0.0
WBGene00000045,0.0,0.0
WBGene00000046,0.0,0.0
WBGene00000047,129.20999958076644,0.0
WBGene00000048,0.0,0.0
WBGene00000049,0.0,0.0
WBGene00000050,0.0,0.0
WBGene00000051,0.0,79.63170177343785
WBGene00000053,0.0,0.0
WBGene00000054,0.0,0.0
WBGene00000055,62.45849842565836,0.0
WBGene00000056,0.0,0.0
WBGene00000057,0.0,0.0
WBGene00000058,0.0,0.0
WBGene00000059,0.0,0.0
WBGene00000060,0.0,0.0
WBGene00000061,0.0,0.0
WBGene00000062,0.0,0.0
WBGene00000063,0.0,651.88701451785
WBGene00000064,97.50849754218095,93.67870208627158
WBGene00000065,605.9589847260743,157.1510034998315
WBGene00000066,1976.6299501766628,1730.1080385303717
WBGene00000067,394.53599005524546,189.54700422130662
WBGene00000068,23.998499395088935,0.0
WBGene00000069,0.0,0.0
WBGene00000070,50.49809872713464,0.0
WBGene00000071,0.0,0.0
WBGene00000072,0.0,0.0
WBGene00000073,0.0,0.0
WBGene00000074,0.0,0.0
WBGene00000075,0.0,0.0
WBGene00000079,0.0,64.36190143337176
WBGene00000080,72.03029818438962,206.94100460867975
WBGene00000081,240.7179939324132,115.09200256315648
WBGene00000082,42.92350285864144,0.0
WBGene00000083,0.0,0.0
WBGene00000084,0.0,0.0
WBGene00000085,0.0,0.0
WBGene00000086,44.080798888890406,21.352234448524946
WBGene00000088,0.0,0.0
WBGene00000089,0.0,0.0
WBGene00000090,26.024899344011086,24.780100551865242
WBGene00000092,150.28299621193617,0.0
WBGene00000093,0.0,0.0
WBGene00000094,0.0,0.0
WBGene00000095,146.18899631513037,0.0
WBGene00000096,64.64919837043914,61.85460137753293
WBGene00000097,0.0,0.0
WBGene00000098,0.0,0.0
WBGene00000099,215.09699457822134,0.0
WBGene00000100,179.25006048178648,187.3335041720109
WBGene00000101,71.42945819953454,110.18800245394195
WBGene00000102,107.30507829524633,201.60440448983098
WBGene00000103,55.786598593831634,53.3159011873718
WBGene00000105,68.24079827990853,20.926600466045866
WBGene00000106,66.1284983331516,63.020801403504784
WBGene00000107,138.43749611051626,0.0
WBGene00000108,0.0,0.0
WBGene00000109,221.4409944183132,70.37830156735998
WBGene00000110,58.567198523743265,111.98600249398432
WBGene00000111,0.0,0.0
WBGene00000112,106.92659730478641,0.0
WBGene00000113,170.93899569127686,0.0
WBGene00000114,325.484991795759,249.14600554860624
WBGene00000115,62.292998429829986,0.0
WBGene00000116,0.0,0.0
WBGene00000117,51.115098711582405,70.7864015764486
WBGene00000118,76.79679806424427,73.58900163886389
WBGene00000120,204.32799484966694,593.603013219836
WBGene00000121,199.2279949782186,192.9220042964696
WBGene00000122,290.0399926891929,839.3300186922995
WBGene00000123,32.96599916905231,78.37980174555742
WBGene00000133,0.0,0.0
WBGene00000134,0.0,0.0
WBGene00000135,0.0,0.0
WBGene00000136,0.0,0.0
WBGene00000137,40.44809898045697,77.16540171851211
WBGene00000138,46.10149883795623,0.0
WBGene00000139,0.0,0.0
WBGene00000140,12.59419968254804,11.959300266339602
WBGene00000142,0.0,0.0
WBGene00000143,0.0,0.0
WBGene00000144,0.0,0.0
WBGene00000145,0.0,488.71701088397236
WBGene00000146,42.3237989331777,127.93270284912532
WBGene00000147,119.43699698944673,0.0
WBGene00000148,0.0,130.75813291204904
WBGene00000149,486.76898773040176,406.8170090600184
WBGene00000150,0.0,70.06380156035593
WBGene00000151,0.0,98.21630218732619
WBGene00000155,0.0,100.90300224716036
WBGene00000156,26.26886933786153,0.0
WBGene00000157,0.0,0.0
WBGene00000158,0.0,0.0
WBGene00000159,304.0849923351717,0.0
WBGene00000160,67.19209830634227,64.03850142616947
WBGene00000161,96.2803975731367,30.581500681065325
WBGene00000162,34.35729913398292,23.47600052282228
WBGene00000163,36.18215398798526,34.495300768227615
WBGene00000164,85.76529783818242,82.27540183231437
WBGene00000165,0.0,156.74500349078968
WBGene00000166,0.0,0.0
WBGene00000168,0.0,0.0
WBGene00000169,0.0,0.0
WBGene00000170,2674.6089325832627,2202.76504905668
WBGene00000171,0.0,0.0
WBGene00000172,247.68599375677638,238.74800531703755
WBGene00000173,0.0,0.0
WBGene00000174,0.0,0.0
WBGene00000175,158.65299600096026,0.0
WBGene00000176,0.0,0.0
WBGene00000177,0.0,0.0
WBGene00000178,0.0,0.0
WBGene00000179,161.06099594026372,0.0
WBGene00000180,0.0,0.0
WBGene00000181,1694.964957276368,439.6560097913594
WBGene00000182,439.24098892840215,739.6240164717971
WBGene00000183,603.0579847991977,582.3820129699388
WBGene00000184,566.4699857214422,1096.7600244253947
WBGene00000185,0.0,0.0
WBGene00000186,28.926369270876048,55.10206122715048
WBGene00000187,0.0,137.68000306620257
WBGene00000188,0.0,141.91100316042906
WBGene00000189,0.0,0.0
WBGene00000190,0.0,0.0
WBGene00000192,140.92299644786624,136.0010030288104
WBGene00000193,0.0,0.0
WBGene00000195,0.0,0.0
WBGene00000196,0.0,0.0
WBGene00000197,33.471199156318136,0.0
WBGene00000198,126.67999680687821,122.15200272038622
WBGene00000199,146.7599963007376,140.56900313054203
WBGene00000200,158.1149960145212,0.0
WBGene00000201,265.28299331322285,169.71577534765524
WBGene00000202,0.0,0.0
WBGene00000203,0.0,0.0
WBGene00000204,0.0,205.74000458193285
WBGene00000205,0.0,0.0
WBGene00000206,0.0,127.93300284913201
WBGene00000207,251.32799366497542,209.33800466206213
WBGene00000208,0.0,88.30120196651195
WBGene00000209,492.36398758937304,474.35701056416804
WBGene00000210,909.1689770833016,0.0
WBGene00000211,0.0,0.0
WBGene00000212,0.0,0.0
WBGene00000213,0.0,0.0
WBGene00000214,752.840981023737,103.45500230399468
WBGene00000215,0.0,84.77710188802848
WBGene00000216,164.1899958613935,236.15500525929014
WBGene00000217,246.71699378120124,315.4300070247841
WBGene00000218,0.0,0.0
WBGene00000219,98.11909752679004,0.0
WBGene00000220,430.79198914136936,165.3130036816033
WBGene00000221,0.0,0.0
WBGene00000222,0.0,43.03010095830188
WBGene00000223,199.259994977412,95.146402118958
WBGene00000224,790.9867800622261,381.13100848797825
WBGene00000225,0.0,0.0
WBGene00000226,0.0,0.0
WBGene00000227,19.628799505232482,37.350100831805435
WBGene00000228,43.61999890050542,64.57150446548972
WBGene00000229,758.0669808920093,724.7230161399442
WBGene00000230,0.0,285.1420063502552
WBGene00000231,294.48799257707566,167.26402050355344
WBGene00000232,0.0,0.0
WBGene00000233,0.0,0.0
WBGene00000235,1162.4299706995535,1491.7300332215743
WBGene00000236,231.98999415241298,0.0
WBGene00000237,60.180498483078104,57.33100127679009
WBGene00000238,0.0,0.0
WBGene00000239,0.0,0.0
WBGene00000240,0.0,155.11000345437742
WBGene00000241,0.0,0.0
WBGene00000242,0.0,0.0
WBGene00000244,0.0,0.0
WBGene00000245,0.0,0.0
WBGene00000246,0.0,0.0
WBGene00000247,277.0089930176549,88.65220197432889
WBGene00000248,53.7760986445087,154.14500343288637
WBGene00000249,0.0,340.5800075848872
WBGene00000250,0.0,0.0
WBGene00000251,0.0,0.0
WBGene00000252,0.0,0.0
WBGene00000253,21.609699455301516,20.5648004579884
WBGene00000254,102.50908041613525,39.94750088965083
WBGene00000255,0.0,0.0
WBGene00000256,0.0,0.0
WBGene00000257,0.0,0.0
WBGene00000259,0.0,0.0
WBGene00000262,169.70399572240652,164.08200365418833
WBGene00000263,1569.2899604441575,2014.5700448654832
WBGene00000264,0.0,0.0
WBGene00000265,0.0,0.0
WBGene00000266,369.7089906810399,322.55700718350596
WBGene00000267,0.0,0.0
WBGene00000268,55.55579859964922,53.093801819976534
WBGene00000269,87.35939779800123,0.0
WBGene00000270,0.0,0.0
WBGene00000271,125.83815316009789,0.0
WBGene00000272,0.0,109.6880024428067
WBGene00000273,63.214598406599954,73.1665016294546
WBGene00000274,0.0,0.0
WBGene00000275,68.48939827364228,32.64010072691138
WBGene00000276,150.88199619683766,0.0
WBGene00000277,57.88199854101455,110.66600246458725
WBGene00000279,0.0,0.0
WBGene00000280,0.0,0.0
WBGene00000281,0.0,0.0
WBGene00000282,0.0,0.0
WBGene00000283,0.0,0.0
WBGene00000284,0.0,0.0
WBGene00000285,0.0,0.0
WBGene00000286,0.0,0.0
WBGene00000287,0.0,0.0
WBGene00000288,0.0,0.0
WBGene00000289,128.9899967486519,207.61400462366777
WBGene00000292,0.0,0.0
WBGene00000293,199.35999497489138,0.0
WBGene00000294,202.58599489357616,129.26600287881854
WBGene00000295,0.0,0.0
WBGene00000296,0.0,0.0
WBGene00000298,0.0,0.0
WBGene00000301,617.9239844244822,2387.4100531688164
WBGene00000302,146.11299631704605,0.0
WBGene00000366,55.18209860906878,133.63127622603542
WBGene00000367,16.15675117414964,0.0
WBGene00000368,0.0,0.0
WBGene00000369,283.6969928490758,181.63600404512468
WBGene00000370,0.0,0.0
WBGene00000371,0.0,712.8710158759942
WBGene00000372,0.0,0.0
WBGene00000373,75.56219809536385,0.0
WBGene00000375,0.0,0.0
WBGene00000376,34.674199125995074,204.07050454475225
WBGene00000377,121.21199694470572,289.78500645365716
WBGene00000378,0.0,55.85260124386539
WBGene00000379,183.54789537345437,175.5358039092702
WBGene00000380,58.240598531975614,111.35700247997617
WBGene00000381,193.21299512983387,92.80180206674257
WBGene00000382,65.41399835116142,0.0
WBGene00000383,169.67587912311524,40.47254570134385
WBGene00000386,0.0,46.169901028226796
WBGene00000387,116.76699705674727,354.96900790533743
WBGene00000388,0.0,0.0
WBGene00000389,0.0,0.0
WBGene00000390,274.0479930922904,350.775007811935
WBGene00000391,0.0,0.0
WBGene00000392,286.5509927771373,0.0
WBGene00000393,0.0,0.0
WBGene00000395,9.461799761503949,0.0
WBGene00000396,57.38459855355212,20.441900455251353
WBGene00000397,22.333599437054744,0.0
WBGene00000399,0.0,0.0
WBGene00000401,50.080277727666314,0.0
WBGene00000402,0.0,0.0
WBGene00000403,1436.7029637861724,28.656300638190157
WBGene00000405,324.87599181110954,208.36000464028157
WBGene00000406,308.52699222320575,98.86940220187105
WBGene00000407,0.0,0.0
WBGene00000408,0.0,0.0
WBGene00000409,55.522998600475994,53.062301181724
WBGene00000410,0.0,86.84010193397253
WBGene00000411,366.3269907662872,70.17400156281013
WBGene00000412,0.0,0.0
WBGene00000413,40.27479898482522,0.0
WBGene00000414,305.5189922990261,293.6790065403784
WBGene00000415,58.25389853164037,27.74352061786209
WBGene00000416,0.0,0.0
WBGene00000417,42.058698939859866,165.8333036931907
WBGene00000418,0.0,0.0
WBGene00000419,0.0,16.78490037380813
WBGene00000420,137.02599654609483,0.0
WBGene00000421,19.591999506160068,51.63826115000991
WBGene00000422,74.36659812550037,0.0
WBGene00000423,97.10559755233652,279.8610062326447
WBGene00000424,0.0,0.0
WBGene00000425,0.0,66.22830147493742
WBGene00000426,98.12199752671694,46.84880104334624
WBGene00000427,0.0,0.0
WBGene00000428,0.0,0.0
WBGene00000429,0.0,168.2960037480362
WBGene00000430,0.0,0.0
WBGene00000431,0.0,60.84220135498627
WBGene00000432,0.0,0.0
WBGene00000433,0.0,0.0
WBGene00000434,194.82699508915107,0.0
WBGene00000435,116.04599707492096,0.0
WBGene00000436,0.0,0.0
WBGene00000437,155.5029960803598,300.43600669086015
WBGene00000438,0.0,0.0
WBGene00000439,0.0,0.0
WBGene00000440,0.0,0.0
WBGene00000441,0.0,0.0
WBGene00000442,0.0,0.0
WBGene00000443,97.71119753707166,281.62800627199664
WBGene00000444,41.428498955744814,0.0
WBGene00000445,0.0,0.0
WBGene00000446,0.0,0.0
WBGene00000447,127.19399679392222,0.0
WBGene00000448,0.0,45.90860102240752
WBGene00000449,0.0,0.0
WBGene00000450,0.0,0.0
WBGene00000451,164.07599586426701,0.0
WBGene00000452,0.0,0.0
WBGene00000453,60.8414984664168,116.36800259157366
WBGene00000454,0.0,0.0
WBGene00000455,118.53299701223312,228.35900508566934
WBGene00000457,0.0,0.0
WBGene00000458,120.66399695851872,232.52500517844823
WBGene00000459,82.65155791666801,159.28516784736038
WBGene00000460,61.96449843811023,59.26600131988351
WBGene00000461,0.0,0.0
WBGene00000462,0.0,0.0
WBGene00000463,132.38907829197393,383.24870511614046
WBGene00000464,48.255798783654505,0.0
WBGene00000465,0.0,57.17700127336043
WBGene00000466,0.0,58.797301309445324
WBGene00000467,0.0,0.0
WBGene00000468,0.0,0.0
WBGene00000469,272.8479931225379,263.4200058664954
WBGene00000472,1943.5799510097277,1949.8700434245814
WBGene00000473,0.0,0.0
WBGene00000474,139.66699647952524,0.0
WBGene00000475,108.54199726406831,417.69600930229916
WBGene00000476,49.16359876077232,46.947401045542115
WBGene00000477,0.0,0.0
WBGene00000478,0.0,51.08730113773976
WBGene00000479,96.11539757729571,45.88500102188193
WBGene00000480,0.0,49.25410109691348
WBGene00000481,0.0,0.0
WBGene00000482,53.777198644480976,68.20440151894616
WBGene00000483,0.0,0.0
WBGene00000484,0.0,88.05640196106013
WBGene00000485,46.038598839541706,0.0
