Gene_ID	SRR28479526	SRR28479525
WBGeneC05E7	147.106	278.127
WBGeneC05G5	551.038	455.23603
WBGeneC05G6	0.0	69.5247
WBGeneC05H8	0.0	0.0
WBGeneC06A1	0.0	35.8801
WBGeneC06A12	0.0	0.0
WBGeneC06A5	205.145183	174.760511
WBGeneC06A6	263.4475361	410.79031596000004
WBGeneC06A8	287.89	780.0442
WBGeneC06B3	0.0	0.0
WBGeneC06B8	2575.4147	2422.0957
WBGeneC06C3	121.164	57.2739
WBGeneC06C6	0.0	104.974
WBGeneC06E1	370.3683	230.583
WBGeneC06E2	191.087	0.0
WBGeneC06E4	654.178	624.979
WBGeneC06E7	232.60000000000002	0.0
WBGeneC06E8	0.0	0.0
WBGeneC06G1	515.80307189	861.59538039
WBGeneC06G3	159.5572	267.849300847229
WBGeneC06G4	78.465004252	74.265012623
WBGeneC06G8	0.0	0.0
WBGeneC06H2	771.805	415.2068
WBGeneC06H5	88.8192	84.5876
WBGeneC07A12	1522.9764	1271.4176195999999
WBGeneC07A4	0.0	0.0
WBGeneC07A9	380.4507	655.2389
WBGeneC07B5	98.729	0.0
WBGeneC07C7	0.0	0.0
WBGeneC07D10	426.7061751	172.543
WBGeneC07D8	0.0	109.345
WBGeneC07E3	40.9535	141.96938799999998
WBGeneC07F11	0.0	69.3828
WBGeneC07G1	967.6697	1100.7404999999999
WBGeneC07G2	252.0779	256.1195
WBGeneC07G3	86.0776	0.0
WBGeneC07H4	0.0	36.7316
WBGeneC07H6	1109.3117	233.8383156
WBGeneC08A9	0.0	0.0
WBGeneC08B11	400.56490035455397	328.2866
WBGeneC08B6	393.239	299.22
WBGeneC08C3	0.0	0.0
WBGeneC08D8	0.0	0.0
WBGeneC08E3	0.0	0.0
WBGeneC08E8	0.0	0.0
WBGeneC08F1	121.7316	806.4755
WBGeneC08F11	0.0	78.1786871768
WBGeneC08F8	1010.93	485.322
WBGeneC08G5	225.972	0.0
WBGeneC08G9	14.0155	0.0
WBGeneC08H9	115.493	217.47689999999997
WBGeneC09B7	0.0	0.0
WBGeneC09B8	371.50266	459.294
WBGeneC09B9	0.0	0.0
WBGeneC09C7	0.0	0.0
WBGeneC09D1	17.9986	19.6732512
WBGeneC09D4	1564.53323718	687.24598045
WBGeneC09D8	99.1222	93.5875
WBGeneC09E10	0.0	0.0
WBGeneC09E7	123.4511	30.565031100000002
WBGeneC09E8	91.0207	424.71009999999995
WBGeneC09E9	0.0	0.0
WBGeneC09F12	0.0	0.0
WBGeneC09F5	93.0396	213.923
WBGeneC09F9	70.0745	82.6784
WBGeneC09G1	163.061	21.2925
WBGeneC09G12	50.6168	0.0
WBGeneC09G4	973.2752956294	988.744000176
WBGeneC09G5	0.0	29.3745
WBGeneC09G9	109.671	364.3793
WBGeneC09H10	2528.8759999999997	1791.059
WBGeneC09H5	0.0	0.0
WBGeneC09H6	140.985000632657	110.1581
WBGeneC10A4	289.652	0.0
WBGeneC10B5	0.0	0.0
WBGeneC10C5	152.9788375	89.48282549999999
WBGeneC10C6	63.6718	42.456199999999995
WBGeneC10E2	129.366	168.1813
WBGeneC10F3	293.8282	0.0
WBGeneC10G11	382.1526	817.921
WBGeneC10G6	103.627	49.506896000000005
WBGeneC10G8	528.9459999999999	530.363
WBGeneC10H11	230.623800453439	187.37090200479
WBGeneC11D2	18.780625375	0.0
WBGeneC11D9	0.0	0.0
WBGeneC11E4	156.051	71.2263
WBGeneC11G10	0.0	0.0
WBGeneC11G6	31.0053	442.2382
WBGeneC11H1	54.8722	76.0522
WBGeneC12C8	0.0	390.204
WBGeneC12D12	63.7255	48.6752
