target_id,WBGene_ID,tpm
B0041.5a.1,WBGene00015009,0.0
B0041.5c.1,WBGene00015009,0.0
B0041.6a.1,WBGene00015010,0.0
B0041.6b.1,WBGene00015010,0.0
B0041.7.1,WBGene00006961,0.0
B0041.8.1,WBGene00015011,0.0
B0047.1.1,WBGene00015012,0.0
B0047.1.2,WBGene00015012,0.0
B0047.3.1,WBGene00015014,0.0
B0047.4.1,WBGene00015015,0.0
B0198.1.1,WBGene00006646,175.742
B0198.2a.1,WBGene00007115,0.0
B0198.2b.1,WBGene00007115,0.0
B0198.2b.2,WBGene00007115,0.0
B0198.3a.1,WBGene00007116,0.0
B0198.3a.2,WBGene00007116,0.0
B0205.10.1,WBGene00015024,0.0
B0205.10.2,WBGene00015024,0.0
B0205.11.1,WBGene00015025,0.0
B0205.12.1,WBGene00044413,0.0
B0205.13.1,WBGene00044644,0.0
B0205.14.1,WBGene00044646,0.0
B0205.14.2,WBGene00044646,0.0
B0205.14.3,WBGene00044646,0.0
B0205.1a.1,WBGene00015017,0.0
B0205.1b.1,WBGene00015017,0.0
B0205.2a.1,WBGene00015018,0.0
B0205.2b.1,WBGene00015018,0.0
B0205.3.1,WBGene00004466,0.0
B0205.4.1,WBGene00015019,0.0
B0205.5.1,WBGene00015020,0.0
B0205.6.1,WBGene00015021,173.297
B0205.7.1,WBGene00002191,166.911
B0205.8.1,WBGene00015022,862.674
B0205.9.1,WBGene00015023,0.0
B0207.1.1,WBGene00015026,0.0
B0207.1.2,WBGene00015026,0.0
B0207.10.1,WBGene00015033,0.0
B0207.11.1,WBGene00015034,0.0
B0207.12a.1,WBGene00000232,0.0
B0207.12a.2,WBGene00000232,0.0
B0207.12a.3,WBGene00000232,0.0
B0207.12b.1,WBGene00000232,0.0
B0207.12c.1,WBGene00000232,0.0
B0207.2.1,WBGene00015027,0.0
B0207.2.2,WBGene00015027,0.0
B0207.3.1,WBGene00001676,0.0
B0207.4.1,WBGene00000099,0.0
B0207.4.2,WBGene00000099,0.0
B0207.5a.1,WBGene00015028,0.0
B0207.5b.1,WBGene00015028,0.0
B0207.6.1,WBGene00015029,0.0
B0207.7.1,WBGene00015030,0.0
B0207.9.1,WBGene00015032,0.0
B0207.9.2,WBGene00015032,0.0
B0212.1a.1,WBGene00015035,0.0
B0212.1b.1,WBGene00015035,0.0
B0212.1c.1,WBGene00015035,0.0
B0212.2.1,WBGene00015036,0.0
B0212.3.1,WBGene00015037,0.0
B0212.4a.1,WBGene00015038,0.0
B0212.4b.1,WBGene00015038,0.0
B0212.4c.1,WBGene00015038,0.0
B0212.4d.1,WBGene00015038,0.0
B0212.4d.2,WBGene00015038,0.0
B0212.4d.3,WBGene00015038,0.0
B0212.5.1,WBGene00003889,76.8306
B0213.10.1,WBGene00015040,0.0
B0213.11a.1,WBGene00015041,0.0
B0213.11b.1,WBGene00015041,0.0
B0213.11c.1,WBGene00015041,0.0
B0213.12.1,WBGene00015042,0.0
B0213.14.1,WBGene00015043,0.0
B0213.15a.1,WBGene00015044,0.0
B0213.15b.1,WBGene00015044,0.0
B0213.15c.1,WBGene00015044,0.0
B0213.15d.1,WBGene00015044,0.0
B0213.16.1,WBGene00015045,0.0
B0213.17.1,WBGene00015046,0.0
B0213.2.1,WBGene00003765,0.0
B0213.3.1,WBGene00003766,0.0
B0213.4.1,WBGene00003767,0.0
B0213.5.1,WBGene00003768,459.355
B0213.6.1,WBGene00003769,0.0
B0213.7.1,WBGene00006142,0.0
B0213.8.1,WBGene00006141,0.0
B0213.9.1,WBGene00006274,0.0
B0218.1.1,WBGene00015047,0.0
B0218.1.2,WBGene00015047,0.0
B0218.1.3,WBGene00015047,0.0
B0218.2.1,WBGene00015048,0.0
B0218.3.1,WBGene00004055,286.753
B0218.5.1,WBGene00015049,0.0
B0218.6a.1,WBGene00015050,0.0
B0218.6b.1,WBGene00015050,0.0
B0218.7.1,WBGene00015051,0.0
B0218.8.1,WBGene00015052,0.0
B0222.1.1,WBGene00015053,0.0
B0222.11.1,WBGene00044582,0.0
B0222.15.1,WBGene00235316,0.0
B0222.2.1,WBGene00015054,0.0
B0222.3.1,WBGene00015055,0.0
B0222.4.1,WBGene00006418,0.0
B0222.5.1,WBGene00015056,0.0
B0222.6.1,WBGene00000717,640.288
B0222.7.1,WBGene00000718,0.0
B0222.8.1,WBGene00000599,2228.75
B0222.9.1,WBGene00015057,0.0
B0228.1.1,WBGene00015059,0.0
B0228.4a.1,WBGene00015061,0.0
B0228.4c.1,WBGene00015061,0.0
B0228.4d.1,WBGene00015061,141.616
B0228.4e.1,WBGene00015061,25.4602
B0228.5a.1,WBGene00015062,0.0
B0228.5b.1,WBGene00015062,0.0
B0228.6.1,WBGene00015063,0.0
B0228.7.1,WBGene00015064,0.0
B0228.7.2,WBGene00015064,0.0
B0228.8.1,WBGene00015065,0.0
B0228.9.1,WBGene00015066,0.0
B0238.1.1,WBGene00015067,0.0
B0238.10.1,WBGene00015074,0.0
B0238.10.2,WBGene00015074,0.0
B0238.11.1,WBGene00015075,0.0
B0238.12.1,WBGene00015076,0.0
B0238.12.2,WBGene00015076,0.0
B0238.15.1,WBGene00044537,0.0
B0238.3.1,WBGene00015068,0.0
B0238.5a.1,WBGene00015069,0.0
B0238.6.1,WBGene00015070,0.0
B0238.7.1,WBGene00015071,0.0
B0238.8.1,WBGene00015072,0.0
B0238.9.1,WBGene00015073,0.0
B0240.1.1,WBGene00004359,0.0
B0240.2.1,WBGene00007117,0.0
B0240.3a.1,WBGene00000907,0.0
B0240.3b.1,WBGene00000907,0.0
B0240.4.1,WBGene00007118,0.0
B0244.10a.1,WBGene00015085,0.0
B0244.10b.1,WBGene00015085,0.0
B0244.15.1,WBGene00206513,0.0
B0244.16.1,WBGene00271577,0.0
B0244.17.1,WBGene00271715,0.0
B0244.2.1,WBGene00002048,603.933
B0244.4a.1,WBGene00015079,0.0
B0244.4b.1,WBGene00015079,0.0
B0244.4c.1,WBGene00015079,0.0
B0244.5.1,WBGene00015080,0.0
B0244.6.1,WBGene00015081,0.0
B0244.7.1,WBGene00015082,0.0
B0244.8.1,WBGene00015083,0.0
B0244.9.1,WBGene00015084,0.0
B0250.1.1,WBGene00004413,4785.41
B0250.10.1,WBGene00007127,0.0
B0250.18a.1,WBGene00206505,0.0
B0250.18b.1,WBGene00206505,0.0
B0250.2.1,WBGene00007119,0.0
B0250.5.1,WBGene00007122,0.0
B0250.6.1,WBGene00007123,0.0
B0250.7b.1,WBGene00007124,0.0
B0250.8.1,WBGene00007125,0.0
B0250.9.1,WBGene00007126,0.0
B0252.1.1,WBGene00015087,0.0
B0252.11.1,WBGene00305086,0.0
B0252.2.1,WBGene00000211,132.07
B0252.3a.1,WBGene00015088,0.0
B0252.3a.2,WBGene00015088,0.0
B0252.3a.3,WBGene00015088,0.0
B0252.3a.4,WBGene00015088,0.0
B0252.3b.1,WBGene00015088,0.0
B0252.3c.1,WBGene00015088,0.0
B0252.4a.1,WBGene00000886,0.0
B0252.4b.1,WBGene00000886,0.0
B0252.5.1,WBGene00015089,0.0
B0252.8.1,WBGene00044615,0.0
B0261.1.1,WBGene00015091,0.0
B0261.2a.1,WBGene00002583,0.0
B0261.2b.1,WBGene00002583,24.2107
B0261.4a.1,WBGene00015092,0.0
B0261.4b.1,WBGene00015092,0.0
B0261.5.1,WBGene00015093,0.0
B0261.6a.1,WBGene00015094,0.0
B0261.6b.1,WBGene00015094,0.0
B0261.7.1,WBGene00015095,0.0
B0261.8.1,WBGene00015096,0.0
B0261.9.1,WBGene00195057,0.0
B0272.1.1,WBGene00006538,0.0
B0272.2.1,WBGene00007128,0.0
B0272.3.1,WBGene00007129,0.0
B0272.4.1,WBGene00007130,0.0
B0273.115.1,WBGene00206473,0.0
B0273.1a.1,WBGene00015097,0.0
B0273.1a.2,WBGene00015097,0.0
B0273.1b.1,WBGene00015097,0.0
B0273.2.1,WBGene00004243,0.0
B0273.3.1,WBGene00015098,0.0
B0273.4a.1,WBGene00006745,0.0
B0273.4b.1,WBGene00006745,0.0
B0273.4c.1,WBGene00006745,0.0
B0273.4d.1,WBGene00006745,0.0
B0273.4d.2,WBGene00006745,0.0
B0273.4e.1,WBGene00006745,0.0
B0273.4f.1,WBGene00006745,0.0
B0280.10a.1,WBGene00015105,0.0
B0280.10b.1,WBGene00015105,0.0
B0280.10b.2,WBGene00015105,0.0
